,0,1,2,3
76,117.40985316703154,37.493354,139.942033,2017-02-19 23:52:00.247
77,237.80937358112078,37.493419,139.942047,2017-02-19 23:52:02.246
78,303.95100711164196,37.493543,139.94207,2017-02-19 23:52:04.246
79,311.9435048005689,37.493682,139.942105,2017-02-19 23:52:06.245
80,540.7736955891924,37.493842,139.94214399999998,2017-02-19 23:52:08.249
81,535.0488322324964,37.494,139.942178,2017-02-19 23:52:10.248
82,254.73213401088378,37.494172,139.94221299999998,2017-02-19 23:52:12.247
83,1054.0453410744667,37.49435,139.942265,2017-02-19 23:52:14.246
84,1472.7612520123366,37.494547,139.94232399999999,2017-02-19 23:52:16.245
85,569.2842470731157,37.494763,139.94237900000002,2017-02-19 23:52:18.249
86,239.08057767491846,37.49498,139.942427,2017-02-19 23:52:20.248
